Provider Number,State,Clinical Process of Care Score, Patient Experience of Care Score,Outcome Score,Efficiency Score,TPS
50113,CA,31.42857143,18,50,70,45.14285714
50115,CA,57.14285714,39,35.71428571,0,29.75
50116,CA,52.85714286,24,54.28571429,0,33
50118,CA,38.57142857,15,51.66666667,0,28.27380952
50121,CA,18.57142857,12,24.28571429,50,27.07142857
50122,CA,60,13,17.14285714,10,18.60714286
50125,CA,45.71428571,13,38.57142857,10,25.75
50126,CA,20,34,60,0,34.5
50127,CA,85.71428571,41,70,20,51.82142857
50128,CA,45.71428571,28,18.57142857,10,21.5
50129,CA,54.28571429,17,55.71428571,0,31.96428571
50131,CA,84.28571429,55,30,10,36.67857143
50132,CA,62.85714286,40,70,0,44.28571429
50133,CA,8.571428571,5,38.57142857,50,30.03571429
50135,CA,13.33333333,11,70,0,32.08333333
50136,CA,44.28571429,29,60,40,45.67857143
50137,CA,91.42857143,26,60,80,59.64285714
50138,CA,70,35,30,80,47.75
50139,CA,52.85714286,30,62.5,80,57.78571429
50145,CA,48.57142857,47,37.14285714,30,38.96428571
50149,CA,58.57142857,9,33.33333333,0,21.44047619
50150,CA,58.57142857,13,68.57142857,30,44.03571429
50152,CA,78.57142857,19,48,20,36.80714286
50153,CA,55.71428571,34,38.57142857,0,29.5
50158,CA,100,10,90,0,48.5
50167,CA,40,8,35,10,22.5
50168,CA,47.14285714,29,45.71428571,0,30.25
50169,CA,18.57142857,47,71.42857143,10,44.67857143
50174,CA,48.57142857,14,45.71428571,20,31.64285714
50179,CA,42.85714286,11,68.57142857,30,41.96428571
50180,CA,30,43,31.42857143,20,31.32142857
50189,CA,45,48,55,40,48.5
50191,CA,54.28571429,18,80,0,41.92857143
50192,CA,22,11,30,70,34.45
50194,CA,50,18,42,50,38.8
50195,CA,42.85714286,25,40,30,34.03571429
50197,CA,64.28571429,32,42.85714286,20,36.57142857
50204,CA,70,32,87.14285714,0,49.85714286
50205,CA,,,95,0,58.46153846
50211,CA,60,10,72,0,37.3
50222,CA,62.85714286,33,58.57142857,10,40.46428571
50224,CA,57.14285714,45,44.28571429,10,37.17857143
50225,CA,62.85714286,32,61.42857143,70,56.35714286
50226,CA,35.71428571,20,31.42857143,10,23.64285714
50228,CA,44.28571429,12,41.42857143,30,31.5
50230,CA,75.71428571,8,61.66666667,10,36.73809524
50231,CA,52.85714286,24,47.14285714,20,35.14285714
50232,CA,74.28571429,34,52.85714286,20,42.07142857
50234,CA,85.71428571,80,55,100,75.57142857
50235,CA,62.85714286,24,40,0,28.28571429
50236,CA,45.71428571,18,54.28571429,0,30.78571429
50238,CA,74.28571429,30,71.42857143,0,43.5
50239,CA,57.14285714,33,64.28571429,0,39.67857143
50242,CA,50,9,68.57142857,0,34.67857143
50245,CA,65.71428571,22,40,0,28.07142857
50248,CA,70,16,74,0,40.6
50254,CA,77.14285714,30,48.57142857,50,47.14285714
50257,CA,,23,,60,41.5
50261,CA,41.42857143,21,32.5,50,34.89285714
