Provider Number,State,Clinical Process of Care Score, Patient Experience of Care Score,Outcome Score,Efficiency Score,TPS
310002,NJ,25.71428571,15,51.42857143,0,26.89285714
310003,NJ,64.28571429,14,61.66666667,20,39.5952381
310005,NJ,71.42857143,26,50,0,33.64285714
310006,NJ,58.57142857,12,42.85714286,10,28.5
310008,NJ,65.71428571,16,67.14285714,0,37.42857143
310009,NJ,72.85714286,16,64.28571429,0,37
310010,NJ,55.71428571,28,61.42857143,0,37.14285714
310012,NJ,70,46,45.71428571,0,36.78571429
310014,NJ,82.85714286,21,7.142857143,0,16.39285714
310015,NJ,55.71428571,20,60,0,34.57142857
310016,NJ,50,23,57.14285714,0,33.60714286
310017,NJ,80,18,51.42857143,0,33.07142857
310019,NJ,54.28571429,19,48.57142857,0,29.60714286
310021,NJ,81.42857143,16,21.66666667,10,23.30952381
310022,NJ,75.71428571,47,61.42857143,0,43.89285714
310024,NJ,70,32,60,0,39
310025,NJ,100,14,55.71428571,0,35.78571429
310027,NJ,62.85714286,11,24.28571429,0,18.75
310028,NJ,40,25,20,0,18.25
310029,NJ,65.71428571,19,52.85714286,0,32.46428571
310031,NJ,42,72,66.66666667,0,48.86666667
310032,NJ,77.14285714,25,24.28571429,0,23.67857143
310034,NJ,87.14285714,31,34.28571429,0,30.17857143
310038,NJ,65.71428571,19,28.57142857,0,22.75
310039,NJ,55.71428571,16,38.57142857,0,25
310040,NJ,62.85714286,16,75,0,40.28571429
310041,NJ,31.42857143,12,35.71428571,0,20.42857143
310044,NJ,48.57142857,18,42.85714286,0,26.5
310045,NJ,62.85714286,23,68.57142857,0,39.46428571
310047,NJ,42.85714286,34,50,0,32.78571429
310048,NJ,71.42857143,17,45.71428571,10,32.17857143
310050,NJ,72.85714286,25,42.85714286,0,30.67857143
310051,NJ,58.57142857,13,42.85714286,0,26.25
310052,NJ,67.14285714,16,48.57142857,0,30.14285714
310054,NJ,92.85714286,36,45.71428571,0,36.57142857
310057,NJ,32.85714286,19,54.28571429,0,29.75
310058,NJ,35,,75,0,44.66666667
310060,NJ,92.85714286,26,35,30,37.28571429
310061,NJ,54.28571429,13,10,10,15.17857143
310064,NJ,55.71428571,26,62.85714286,0,37.21428571
310069,NJ,77.14285714,45,40,0,34.96428571
310070,NJ,72.85714286,47,37.14285714,0,33.89285714
310073,NJ,75.71428571,21,42.85714286,0,29.96428571
310074,NJ,95.71428571,20,81.42857143,10,49.64285714
310075,NJ,67.14285714,31,51.42857143,0,35.03571429
310076,NJ,60,41,45.71428571,0,34.53571429
310081,NJ,47.14285714,16,57.14285714,0,31.57142857
310083,NJ,48.57142857,21,80,0,42.10714286
310084,NJ,67.14285714,10,41.42857143,0,25.78571429
310086,NJ,57.14285714,40,51.42857143,0,36.28571429
310091,NJ,45.71428571,24,66,0,36.97142857
310092,NJ,60,18,30,0,22.5
310096,NJ,57.14285714,13,41.66666667,20,30.63095238
310108,NJ,52.85714286,13,40,0,24.53571429
310110,NJ,44.28571429,24,30,0,22.42857143
310111,NJ,31.42857143,33,48.57142857,0,30.82142857
310112,NJ,84.28571429,29,65.71428571,0,41.96428571
310113,NJ,44.28571429,16,14.28571429,10,16.64285714
310115,NJ,70,12,62.85714286,0,35.14285714
310118,NJ,88.57142857,11,60,30,43.10714286
310130,NJ,41.42857143,22,40,0,25.64285714
320001,NM,55.71428571,21,37.14285714,0,25.67857143
320002,NM,54.28571429,21,31.42857143,40,33.25
320003,NM,76.66666667,15,70,90,61.91666667
320005,NM,51.42857143,20,32.85714286,40,33.28571429
320006,NM,55.71428571,22,50,40,41.07142857
320009,NM,74.28571429,28,41.42857143,0,31
320011,NM,35.71428571,18,45,60,41.07142857
320013,NM,72.85714286,31,56.66666667,80,57.70238095
320016,NM,85.71428571,30,33.33333333,60,44.4047619
320017,NM,61.42857143,24,42,30,36.44285714
320018,NM,60,24,34.28571429,0,25.71428571
320021,NM,30,17,35.71428571,10,24.03571429
320022,NM,27.14285714,43,55,10,37.96428571
320030,NM,57.14285714,57,60,70,61.46428571
320033,NM,90,55,50,70,60.25
320038,NM,20,18,63.33333333,100,56.83333333
320059,NM,10,21,36.66666667,100,45.91666667
320061,NM,41.66666667,12,43.33333333,100,49.5
320063,NM,84.28571429,12,42.5,50,40.92857143
320065,NM,55.71428571,16,60,30,41.07142857
320074,NM,81.42857143,54,43.33333333,60,53.97619048
320084,NM,,20,36.66666667,100,49.62962963
320085,NM,91.42857143,17,40,0,29.39285714
320086,NM,55.71428571,35,45,0,32.32142857
320089,NM,18.57142857,23,70,20,40.60714286
330003,NY,57.14285714,14,68.57142857,60,51.64285714
330004,NY,32.85714286,9,57.14285714,0,28.39285714
330005,NY,41.42857143,11,44.28571429,10,27.10714286
330006,NY,42.85714286,5,36.66666667,0,20.20238095
330008,NY,44.28571429,15,26.66666667,60,33.8452381
330009,NY,71.42857143,15,45.71428571,30,36.67857143
330011,NY,50,19,21.42857143,50,30.82142857
330013,NY,42.85714286,12,55.71428571,0,29.57142857
330014,NY,57.14285714,14,38.57142857,0,24.64285714
330019,NY,84.28571429,30,70,0,43.92857143
330023,NY,65.71428571,31,47.14285714,10,35.67857143
330024,NY,51.42857143,25,71.42857143,10,42.46428571
330027,NY,74.28571429,0,34.28571429,20,26.14285714
330028,NY,62.85714286,10,34.28571429,0,22.5
330030,NY,74.28571429,26,55.71428571,60,51.21428571
330033,NY,67.14285714,21,57.5,60,49.96428571
330043,NY,31.42857143,13,38.57142857,0,21.82142857
330044,NY,44.28571429,16,45.71428571,10,29.21428571
330045,NY,37.14285714,23,42.85714286,0,26.60714286
330046,NY,38.57142857,9,47.14285714,10,27.46428571
330047,NY,58.57142857,18,28,20,26.55714286
330049,NY,78.57142857,51,25,50,43.10714286
330055,NY,57.14285714,14,35.71428571,0,23.5
330056,NY,52.85714286,21,12.85714286,0,15.67857143
330057,NY,85.71428571,30,55.71428571,30,45.85714286
330058,NY,57.14285714,25,15,60,32.96428571
330059,NY,22.85714286,22,57.14285714,10,33.14285714
330061,NY,64.28571429,16,64.28571429,0,36.14285714
330065,NY,38.57142857,9,46.66666667,20,29.77380952
330073,NY,51.42857143,27,72.5,50,53.39285714
330074,NY,48.57142857,20,58,70,50.55714286
330078,NY,65.71428571,20,50,20,36.57142857
330079,NY,55.71428571,89,10,60,46.82142857
330080,NY,50,18,52.85714286,0,30.64285714
330084,NY,28.57142857,18,70,80,55.35714286
330085,NY,45.71428571,37,45,80,51.82142857
330086,NY,20,15,56.66666667,0,28.41666667
330088,NY,47.14285714,33,33.33333333,10,28.79761905
330094,NY,81.42857143,15,24.28571429,0,21.60714286
330096,NY,64.28571429,40,33.33333333,70,47.26190476
330101,NY,48.57142857,15,64.28571429,10,36.82142857
330102,NY,67.14285714,28,48.57142857,10,35.64285714
330103,NY,68.57142857,27,42.85714286,30,38.25
330104,NY,85.71428571,13,55.71428571,0,34.10714286
330106,NY,42.85714286,19,48.57142857,0,28.46428571
330107,NY,47.14285714,12,50,0,27.71428571
330108,NY,,29,60,60,51.38888889
330111,NY,,24,45,0,26.66666667
330115,NY,85.71428571,44,48,20,43.77142857
330119,NY,44.28571429,14,64.28571429,10,36.14285714
330125,NY,80,22,50,40,43.5
330126,NY,67.14285714,33,34.28571429,0,28.67857143
330127,NY,37.14285714,14,40,0,23.21428571
330128,NY,51.42857143,16,44.28571429,0,26.85714286
330135,NY,44.28571429,13,64,20,38.27857143
330136,NY,51.42857143,29,30,20,29.39285714
330140,NY,42.85714286,24,42.85714286,20,32.42857143
330141,NY,37.14285714,22,40,0,25.21428571
330144,NY,38.57142857,55,46.66666667,100,61.27380952
330151,NY,45.71428571,33,26.66666667,80,43.48809524
330153,NY,42.85714286,12,42.85714286,20,29.42857143
330157,NY,60,21,61.42857143,70,53.32142857
330158,NY,17.14285714,7,35.71428571,0,17.75
330160,NY,82.85714286,18,38.57142857,0,28.21428571
330162,NY,87.14285714,77,58.57142857,0,51.39285714
330164,NY,70,35,54.28571429,50,49.96428571
330167,NY,55.71428571,29,60,0,36.82142857
330175,NY,71.42857143,18,100,90,74.14285714
330180,NY,65.71428571,4,50,30,35.07142857
330181,NY,30,14,53.33333333,0,27.83333333
330182,NY,50,56,51.42857143,0,39.57142857
330184,NY,42.85714286,19,45.71428571,10,29.82142857
330185,NY,75.71428571,60,74.28571429,0,52.28571429
330188,NY,78.57142857,17,25,20,27.10714286
330191,NY,62.85714286,34,58.57142857,10,40.71428571
330193,NY,31.42857143,14,44.28571429,0,24.35714286
330194,NY,45.71428571,6,72.85714286,0,35.21428571
330195,NY,68.57142857,36,60,0,39.85714286
330196,NY,68.57142857,22,58.57142857,0,35.78571429
330197,NY,34.28571429,18,58,100,56.12857143
330198,NY,90,14,27.14285714,0,23.35714286
330199,NY,58.57142857,9,72.5,40,47.10714286
330201,NY,27.14285714,9,68.57142857,0,32.39285714
330202,NY,47.14285714,6,28.33333333,30,25.04761905
330203,NY,52.85714286,17,41.42857143,20,31.10714286
330204,NY,51.42857143,18,37.14285714,30,32
330205,NY,37.14285714,41,43.33333333,0,31.29761905
330208,NY,74.28571429,38,48.57142857,0,36.35714286
330211,NY,90,20,85,70,65.5
330214,NY,90,25,71.42857143,0,43.82142857
330215,NY,35.71428571,16,40,30,31.07142857
330218,NY,48.57142857,41,78.33333333,10,48.94047619
330219,NY,27.14285714,33,42.85714286,20,33.10714286
330221,NY,48.57142857,11,41.42857143,20,29.17857143
330223,NY,34.28571429,24,20,100,42.42857143
330224,NY,58.33333333,41,50,30,43.58333333
330226,NY,77.14285714,37,31.42857143,60,44.53571429
330229,NY,14.28571429,13,36.66666667,0,19.3452381
330231,NY,18.57142857,35,33.33333333,10,26.44047619
330232,NY,75.71428571,34,36.66666667,50,43.23809524
330233,NY,10,7,38.57142857,0,18.17857143
330234,NY,44.28571429,7,40,0,22.17857143
330235,NY,67.14285714,25,61.66666667,60,52.63095238
330236,NY,32.85714286,19,55.71428571,0,30.32142857
330238,NY,30,26,33.33333333,70,40.33333333
330239,NY,27.14285714,14,60,10,32.71428571
330240,NY,50,14,55,0,30.5
330241,NY,10,22,45.71428571,0,24.78571429
330245,NY,41.42857143,33,22.85714286,0,21.53571429
330246,NY,82.85714286,26,51.42857143,0,35.35714286
330250,NY,64.28571429,43,45.71428571,40,45.46428571
330259,NY,58.57142857,24,27.14285714,0,22.71428571
330261,NY,55.71428571,62,47.14285714,0,39.92857143
330264,NY,42.85714286,15,48.57142857,0,27.46428571
330265,NY,88.57142857,40,26.66666667,80,49.52380952
330267,NY,80,40,40,0,34
330270,NY,80,74,,0,44.16666667
330273,NY,81.42857143,69,48.33333333,0,44.72619048
330276,NY,60,21,42.5,70,45.75
330277,NY,47.14285714,28,96.66666667,60,65.38095238
330279,NY,84.28571429,14,24.28571429,20,26.64285714
330285,NY,81.42857143,30,45.71428571,30,41.42857143
330286,NY,67.14285714,14,50,0,30.21428571
330304,NY,62.85714286,50,34.28571429,0,32.5
330306,NY,42.85714286,10,42.85714286,0,23.92857143
330307,NY,57.14285714,45,44.28571429,70,52.17857143
330331,NY,37.14285714,12,50,0,26.71428571
330332,NY,52.85714286,10,37.14285714,0,22.64285714
330340,NY,34.28571429,22,48.57142857,30,35.85714286
330350,NY,20,17,44.28571429,10,26.46428571
330353,NY,20,13,40,0,21.25
330372,NY,48.57142857,45,27.14285714,0,26.96428571
330385,NY,,17,80,50,54.16666667
330386,NY,50,3,44.28571429,0,23.46428571
330393,NY,51.42857143,29,41.42857143,10,31.46428571
330394,NY,51.42857143,12,32.85714286,30,28.78571429
330395,NY,70,8,33.33333333,0,22.33333333
330396,NY,24.28571429,20,35,20,26.42857143
330397,NY,28.33333333,17,78,0,38.28333333
330399,NY,51.42857143,14,30,50,33.14285714
330401,NY,60,22,60,0,35.5
340001,NC,94.28571429,42,24.28571429,10,32.14285714
340002,NC,55.71428571,62,54.28571429,0,42.78571429
340003,NC,82.85714286,43,70,70,64.53571429
340004,NC,45.71428571,25,42.85714286,0,27.96428571
340008,NC,82.85714286,66,54,60,61.38571429
340010,NC,38.57142857,34,44.28571429,30,37.57142857
340013,NC,20,21,38.33333333,20,27.58333333
340014,NC,90,13,42.85714286,20,34.39285714
340015,NC,81.42857143,18,32.85714286,10,28.28571429
340016,NC,42.85714286,25,66,20,41.93571429
340017,NC,42.85714286,61,68,20,51.73571429
340020,NC,58.57142857,35,41.42857143,50,43.67857143
340021,NC,61.42857143,60,14.28571429,20,31.85714286
340023,NC,37.14285714,66,66,10,49.11428571
340024,NC,40,39,53.33333333,80,55.08333333
340027,NC,51.42857143,43,32.85714286,20,34.03571429
340028,NC,71.42857143,31,42.85714286,30,39.53571429
340030,NC,67.14285714,45,71.42857143,10,49.03571429
340032,NC,82.85714286,29,62.85714286,40,50.67857143
340036,NC,72.85714286,,40,60,51.04761905
340037,NC,90,52,62.5,40,57
340039,NC,72.85714286,20,61.42857143,30,44.35714286
340040,NC,64.28571429,44,35.71428571,10,34.21428571
340041,NC,100,27,35,10,33.25
340042,NC,81.42857143,30,65,40,51.64285714
340047,NC,67.14285714,16,40,0,26.71428571
340049,NC,90,95,,60,79.58333333
340050,NC,92.85714286,31,45.71428571,30,42.82142857
340051,NC,42.85714286,18,52.85714286,40,39.92857143
340053,NC,74.28571429,33,54.28571429,0,37.39285714
340060,NC,52.85714286,31,60,10,39.53571429
340061,NC,57.14285714,45,44.28571429,10,37.17857143
340064,NC,74.28571429,40,50,10,39.92857143
340068,NC,45.71428571,31,50,30,39.82142857
340069,NC,68.57142857,40,38.57142857,0,32.28571429
340070,NC,35.71428571,21,30,40,30.82142857
340071,NC,41.42857143,45,56.66666667,40,48.05952381
340073,NC,71.42857143,43,64.28571429,0,43.60714286
340075,NC,70,40,50,30,44.5
340085,NC,67.14285714,16,40,0,26.71428571
340087,NC,44.28571429,58,42.5,20,40.92857143
340090,NC,80,61,55.71428571,10,48.03571429
340091,NC,70,36,51.42857143,30,44.07142857
340096,NC,42.85714286,22,48,60,43.98571429
340097,NC,45.71428571,58,85,30,60.57142857
340098,NC,88.57142857,44,41.42857143,20,41.42857143
340099,NC,84.28571429,57,60,50,59.17857143
340106,NC,78,46,60,80,63.3
340107,NC,77.14285714,69,55.71428571,40,57.25
340109,NC,64.28571429,39,55.71428571,40,48.46428571
340113,NC,68.57142857,37,31.42857143,10,31.17857143
340114,NC,35.71428571,50,47.14285714,20,39.92857143
340115,NC,75.71428571,76,72.85714286,40,65.71428571
340116,NC,75.71428571,46,52.85714286,20,45.21428571
340119,NC,82.85714286,25,46.66666667,30,40.70238095
340120,NC,53.33333333,58,46.66666667,60,53.5
340123,NC,47.14285714,35,61.42857143,40,48.03571429
340126,NC,38.57142857,45,28.57142857,10,29.03571429
340127,NC,30,20,22,60,31.8
340129,NC,62.85714286,40,41.42857143,30,40.35714286
340130,NC,41.42857143,40,37.14285714,20,34
340131,NC,47.14285714,48,64.28571429,50,54.92857143
340132,NC,85.71428571,19,44.28571429,40,41.03571429
340133,NC,37.14285714,44,60,50,51.21428571
340141,NC,78.57142857,62,28.57142857,10,37.28571429
340142,NC,67.14285714,51,28.33333333,50,43.29761905
340143,NC,51.42857143,38,20,0,22.64285714
340144,NC,92.85714286,40,96,40,67.68571429
340145,NC,81.42857143,64,64,10,52.24285714
340147,NC,51.42857143,42,27.14285714,0,26.5
340148,NC,100,62,100,80,85.5
340151,NC,5.714285714,42,48,0,30.27142857
340155,NC,58.57142857,32,27.14285714,20,29.71428571
340158,NC,74.28571429,27,64,40,49.77857143
340159,NC,72.85714286,26,13.33333333,30,26.61904762
340166,NC,87.14285714,44,16.66666667,20,31.38095238
340171,NC,55.71428571,27,55.71428571,20,39.60714286
340173,NC,45.71428571,23,45.71428571,20,33.60714286
340183,NC,74.28571429,22,98,30,59.62857143
340184,NC,64.28571429,24,46,40,40.82857143
340186,NC,64.28571429,61,22.5,70,48.17857143
350002,ND,51.42857143,31,57.14285714,60,50.75
350006,ND,50,26,48.57142857,10,33.42857143
350011,ND,62.85714286,21,30,10,26.03571429
350015,ND,38.57142857,25,51.42857143,50,43.17857143
350019,ND,40,40,45.71428571,30,39.78571429
350070,ND,67.14285714,32,31.42857143,10,29.78571429
360001,OH,85.71428571,33,61.42857143,10,43.89285714
360002,OH,82.85714286,66,36.66666667,30,46.95238095
360003,OH,65.71428571,30,42.85714286,0,31.21428571
360006,OH,60,44,30,0,29
360008,OH,75.71428571,41,72.85714286,0,46.96428571
360009,OH,54.28571429,32,67.14285714,10,42.78571429
360010,OH,82.85714286,25,51.66666667,20,40.20238095
360011,OH,75.71428571,23,72.85714286,0,42.46428571
360012,OH,67.14285714,36,51.42857143,10,38.78571429
360013,OH,30,43,37.5,20,33.75
360014,OH,75.71428571,24,60,30,45.07142857
360016,OH,50,23,62.85714286,0,35.89285714
360017,OH,50,36,47.14285714,0,32.85714286
360019,OH,55.71428571,26,78.57142857,0,43.5
360020,OH,58.57142857,12,30,0,20.85714286
360025,OH,85.71428571,32,47.14285714,0,35.42857143
360026,OH,70,57,50,20,46.25
360027,OH,55.71428571,32,55.71428571,10,38.35714286
360029,OH,44.28571429,59,33.33333333,0,32.51190476
360032,OH,35.71428571,45,66.66666667,20,46.48809524
360035,OH,51.42857143,23,27.14285714,0,21.75
360036,OH,61.42857143,54,31.66666667,30,39.80952381
360037,OH,60,60,50,30,48.5
360039,OH,22.85714286,16,55.71428571,10,31.07142857
360040,OH,34.28571429,23,76,20,44.57857143
360041,OH,70,24,45.71428571,10,33.78571429
360044,OH,34.28571429,18,33.33333333,0,21.26190476
360046,OH,41.42857143,55,0,0,17.89285714
360048,OH,67.14285714,21,45.71428571,0,30.25
360051,OH,77.14285714,35,60,0,40.46428571
360052,OH,72.85714286,29,42.85714286,0,31.67857143
360054,OH,57.14285714,39,50,10,37.96428571
360055,OH,55.71428571,15,72.85714286,0,38.46428571
360056,OH,38.57142857,72,52.85714286,10,45.5
360058,OH,64.28571429,73,60,40,58.67857143
360059,OH,38.57142857,14,31.42857143,0,19.92857143
360064,OH,58.57142857,8,17.14285714,0,14.71428571
360065,OH,70,55,46,30,46.65
360066,OH,48.57142857,38,45.71428571,0,32.64285714
360068,OH,37.14285714,34,72.85714286,0,41.35714286
360070,OH,38.57142857,24,60,10,36.35714286
360072,OH,44.28571429,35,45.71428571,0,31.46428571
360074,OH,68.57142857,60,57.14285714,0,44.71428571
360075,OH,65.71428571,24,71.66666667,0,41.23809524
360076,OH,57.14285714,45,62.85714286,0,42.10714286
360077,OH,38.57142857,47,74.28571429,10,47.82142857
360078,OH,21.42857143,31,62.85714286,10,37.53571429
360079,OH,71.42857143,59,54.28571429,0,43.60714286
360080,OH,95.71428571,24,72,0,44.37142857
360081,OH,25.71428571,14,40,10,24.57142857
360082,OH,81.42857143,53,55,10,45.89285714
360084,OH,74.28571429,28,52.85714286,0,35.57142857
360085,OH,50,32,42.85714286,0,30.14285714
360086,OH,51.42857143,21,70,0,38.39285714
360087,OH,72.85714286,59,63.33333333,10,49.86904762
360089,OH,38.57142857,68,56.66666667,50,56.02380952
360090,OH,25.71428571,23,41.42857143,0,24.89285714
360091,OH,44.28571429,39,58.33333333,10,40.01190476
360092,OH,81.42857143,36,36.66666667,0,31.80952381
360095,OH,91.42857143,53,57.14285714,10,47.75
360096,OH,65.71428571,14,87.5,0,45.07142857
360098,OH,52.85714286,34,85.71428571,0,48.07142857
360107,OH,32.85714286,61,60,0,42.53571429
360109,OH,12.85714286,37,56.66666667,0,33.20238095
360112,OH,35.71428571,32,31.42857143,0,24.14285714
360118,OH,45.71428571,33,45.71428571,0,31.10714286
360121,OH,80,68,32.5,10,40.5
360123,OH,54.28571429,56,77.14285714,10,52.78571429
360125,OH,85.71428571,38,83.33333333,0,51.4047619
360131,OH,57.14285714,32,43.33333333,0,31.04761905
360132,OH,75.71428571,40,90,0,53.57142857
360133,OH,54.28571429,32,48.57142857,0,32.85714286
360134,OH,40,41,67.14285714,0,41.10714286
360137,OH,58.57142857,26,44.28571429,0,30.07142857
360141,OH,42.85714286,14,40,0,23.78571429
360143,OH,62.85714286,37,54.28571429,0,37.25
360144,OH,77.14285714,38,54.28571429,0,38.92857143
360145,OH,61.42857143,22,48.57142857,0,31.07142857
360147,OH,51.42857143,35,57.14285714,10,39.25
360148,OH,98.57142857,61,35,0,39.10714286
360150,OH,48.57142857,56,48.33333333,0,38.19047619
360151,OH,62.85714286,17,44.28571429,0,28.25
360152,OH,85.71428571,41,48.57142857,10,40.75
360155,OH,71.42857143,18,62.85714286,20,41.78571429
360156,OH,80,68,53.33333333,0,46.33333333
360159,OH,58.57142857,35,54.28571429,10,38.82142857
360161,OH,48.57142857,34,55.71428571,0,35.64285714
360163,OH,47.14285714,69,67.14285714,0,48.82142857
360170,OH,94.28571429,25,16.66666667,0,22.3452381
360172,OH,32.85714286,31,78.57142857,0,42.46428571
360174,OH,82.85714286,37,68.57142857,0,44.96428571
360175,OH,65.71428571,42,56.66666667,0,39.73809524
360179,OH,64.28571429,32,52.85714286,0,35.57142857
360180,OH,40,59,64.28571429,0,44.46428571
360185,OH,48.57142857,34,60,0,37.35714286
360189,OH,57.14285714,50,40,40,44.21428571
360192,OH,77.14285714,27,58.57142857,0,37.89285714
360197,OH,78.57142857,60,66,20,54.25714286
360203,OH,27.14285714,59,25.71428571,10,30.25
360210,OH,82.85714286,74,50,10,49.28571429
360211,OH,38.57142857,35,24.28571429,0,22.32142857
360212,OH,40,40,55.71428571,0,36.28571429
360218,OH,65.71428571,33,48.57142857,0,34.25
360230,OH,64.28571429,37,64.28571429,10,43.89285714
360234,OH,47.14285714,42,57.14285714,10,40.57142857
360236,OH,64.28571429,47,45.71428571,30,43.96428571
360239,OH,65.71428571,60,38.33333333,10,39.4047619
360259,OH,77.14285714,56,60,0,45.71428571
360262,OH,51.42857143,24,54.28571429,10,35.35714286
360263,OH,88.33333333,99,,20,64.30555556
360266,OH,86.66666667,87,,50,71.52777778
360270,OH,81.42857143,81,46.66666667,60,62.05952381
360274,OH,62,66,,40,54.5
360276,OH,47.14285714,39,28.57142857,0,25.89285714
360348,OH,65.71428571,73,55,10,49.32142857
360351,OH,85,54,,0,36.66666667
360352,OH,95,100,25,20,49.5
360354,OH,50,61,64.28571429,0,45.96428571
360355,OH,60,85,60,0,51.25
360359,OH,61.42857143,16,60,0,34.14285714
360360,OH,58.57142857,37,41.66666667,0,31.77380952
360361,OH,100,,,0,28.57142857
360362,OH,66.66666667,93,,30,62.36111111
370001,OK,51.42857143,12,54.28571429,0,29.85714286
370002,OK,85.71428571,61,40,40,49.82142857
370004,OK,32.85714286,29,60,70,52.03571429
370006,OK,64.28571429,45,35,50,44.17857143
370007,OK,,,30,60,41.53846154
370008,OK,30,31,31.42857143,0,23.32142857
370011,OK,,,40,0,24.61538462
370013,OK,45.71428571,27,58.33333333,0,34.6547619
370014,OK,57.14285714,24,75,10,44.21428571
370015,OK,98.57142857,60,70,100,77.85714286
370016,OK,52.85714286,56,47.14285714,30,45.64285714
370018,OK,85.71428571,45,37.14285714,10,37.17857143
370019,OK,17.14285714,22,67.5,40,44.21428571
370020,OK,37.14285714,38,63.33333333,0,38.54761905
370022,OK,38.57142857,57,42.5,70,52.60714286
370023,OK,84.28571429,72,36,60,55.82857143
370025,OK,31.42857143,15,41.42857143,0,23.46428571
370026,OK,82.85714286,37,37.14285714,20,37.39285714
370028,OK,38.57142857,38,51.42857143,0,33.92857143
370029,OK,72,31,73.33333333,50,56.78333333
370030,OK,,,33.33333333,50,39.74358974
370032,OK,61.42857143,34,68.57142857,0,42.07142857
370034,OK,30,18,45,30,33
370036,OK,,,55,100,72.30769231
370037,OK,77.14285714,46,37.14285714,10,36.57142857
370039,OK,81.42857143,16,64,40,47.74285714
370041,OK,,,75,100,84.61538462
370047,OK,32.85714286,35,37.14285714,10,29.39285714
370048,OK,40,22,46.66666667,0,28.16666667
370049,OK,75.71428571,56,58,0,44.77142857
370054,OK,25.71428571,44,53.33333333,60,49.9047619
370056,OK,24.28571429,55,38.57142857,30,39.10714286
370057,OK,,,53.33333333,0,32.82051282
370065,OK,,44,20,20,26.66666667
370078,OK,31.42857143,18,41.42857143,0,24.21428571
370080,OK,,,40,100,63.07692308
370083,OK,,,26.66666667,60,39.48717949
370089,OK,38.57142857,27,60,10,37.10714286
370091,OK,58.57142857,43,37.14285714,10,33.96428571
370093,OK,70,15,30,0,22.75
370094,OK,65.71428571,18,34.28571429,0,24.78571429
370097,OK,37.14285714,18,35,20,27.21428571
370099,OK,,16,53.33333333,30,36.48148148
370100,OK,,7,60,30,36.94444444
370106,OK,40,30,41.42857143,0,28.07142857
370112,OK,,65,46.66666667,0,38.7962963
370113,OK,52.85714286,60,72.5,20,54.28571429
370114,OK,57.14285714,18,34.28571429,0,23.92857143
370138,OK,,44,50,100,62.22222222
370139,OK,,,85,70,79.23076923
370149,OK,91.42857143,76,36.66666667,30,50.30952381
370153,OK,,66,40,100,63.88888889
370158,OK,,70,53.33333333,40,54.25925926
370171,OK,28.33333333,53,45,40,44.08333333
370172,OK,57.5,57,60,100,69
370173,OK,,46,45,100,60.55555556
370180,OK,14.28571429,84,,100,79.04761905
370183,OK,,,40,50,43.84615385
370190,OK,63.33333333,91,25,10,41.58333333
370192,OK,82,,,0,23.42857143
370199,OK,77.5,40,90,,71.66666667
370202,OK,41.42857143,20,57.14285714,0,32
370203,OK,56.66666667,69,,10,42.36111111
370206,OK,,94,,20,57
370211,OK,40,46,35,0,29.5
370212,OK,13.33333333,98,,20,51.38888889
370215,OK,98.57142857,100,51.66666667,20,60.52380952
370218,OK,75.71428571,39,56,10,42.22142857
370222,OK,88,89,,20,60.08333333
370225,OK,68,,,80,76.57142857
370227,OK,33.33333333,25,50,100,54.58333333
370228,OK,92.85714286,77,60,50,65.03571429
370229,OK,,52,80,10,52.77777778
370234,OK,82.85714286,97,46.66666667,30,58.70238095
370235,OK,80,54,80,30,61
370236,OK,45.71428571,71,65,0,48.32142857
380001,OR,58.57142857,38,35,40,39.35714286
380002,OR,70,45,50,60,53.25
380004,OR,38.57142857,32,37.14285714,40,36.71428571
380005,OR,80,39,85,20,56.75
380007,OR,45.71428571,27,25.71428571,10,24.10714286
380009,OR,85.71428571,39,45.71428571,0,36.60714286
380014,OR,40,11,44.28571429,40,34.46428571
380017,OR,72.85714286,41,45.71428571,30,43.32142857
380018,OR,55.71428571,21,35.71428571,30,32.60714286
380020,OR,82.85714286,27,38.57142857,60,45.46428571
380021,OR,54.28571429,26,47.14285714,50,43.28571429
380022,OR,35.71428571,35,12.5,80,37.32142857
380025,OR,72.85714286,24,55.71428571,70,53.07142857
380027,OR,55.71428571,14,42.85714286,80,46.21428571
380029,OR,58.57142857,41,45,90,56.60714286
380033,OR,,5,50,100,51.38888889
380037,OR,68.57142857,42,0,100,42.35714286
380038,OR,38.57142857,39,35,80,47.60714286
380040,OR,54.28571429,51,75,90,70.67857143
380047,OR,30,22,38.57142857,40,33.92857143
380050,OR,38.57142857,19,68.33333333,90,58.44047619
380051,OR,52.85714286,41,47.14285714,50,46.89285714
380052,OR,94.28571429,19,40,20,35.17857143
380056,OR,48.33333333,25,15,90,39.58333333
380060,OR,51.42857143,40,34.28571429,70,46.35714286
380061,OR,38.57142857,36,28.57142857,40,34.28571429
380071,OR,81.42857143,44,51.66666667,80,59.80952381
380075,OR,51.42857143,30,47.14285714,60,46.5
380082,OR,48.57142857,34,30,50,37.85714286
380089,OR,67.14285714,50,37.14285714,60,49.07142857
380090,OR,50,27,52.85714286,60,47.89285714
380091,OR,67.14285714,41,35,100,55.96428571
380102,OR,68.57142857,27,35.71428571,50,40.39285714
380103,OR,75.71428571,68,45,90,65.07142857
390001,PA,51.42857143,19,30,0,21.89285714
