Facility ID,State,Clinical Outcomes Score,Person and Community Engagement Score, Safety Score,Efficiency and Cost Reduction Score,TPS
300019,NH,44,17,24,30,28.75
300020,NH,66,29,34,10,34.75
300023,NH,54,43,57.5,20,43.625
300029,NH,54,28,28,0,27.5
300034,NH,80,35,16,0,32.75
310001,NJ,74,13,8,0,23.75
310002,NJ,54,15,40,0,27.25
310003,NJ,60,17,68,0,36.25
310005,NJ,70,43,54,10,44.25
310006,NJ,50,16,62.5,10,34.625
310008,NJ,60,33,16,0,27.25
310009,NJ,66,12,24,0,25.5
310010,NJ,34,26,34,20,28.5
310011,NJ,44,21,32.5,0,24.375
310012,NJ,28,33,28,20,27.25
310014,NJ,56,19,12,0,21.75
310015,NJ,68,30,36,0,33.5
310016,NJ,52.5,21,45,0,29.625
310017,NJ,48,30,58,0,34
310019,NJ,40,14,6,0,15
310021,NJ,32.5,12,32.5,0,19.25
310022,NJ,46,37,36,0,29.75
310024,NJ,26,16,40,10,23
310025,NJ,72.5,15,58,0,36.375
310027,NJ,12,10,24,0,11.5
310028,NJ,52,24,70,0,36.5
310029,NJ,37.5,17,44,0,24.625
310031,NJ,50,39,36.66666667,0,31.41666667
310032,NJ,30,27,44,10,27.75
310034,NJ,42,18,14,0,18.5
310038,NJ,46,12,36,0,23.5
310039,NJ,60,12,34,0,26.5
310040,NJ,34,17,82.5,0,33.375
310041,NJ,22,15,22,0,14.75
310044,NJ,38,16,28,0,20.5
310045,NJ,52,28,56,0,34
310047,NJ,32,28,28,0,22
310048,NJ,22,19,26,0,16.75
310050,NJ,72,25,50,0,36.75
310051,NJ,42,23,22,10,24.25
310052,NJ,30,15,42,0,21.75
310054,NJ,62,13,24,0,24.75
310057,NJ,36,11,38,0,21.25
310058,NJ,15,,100,20,45
310060,NJ,76,37,53.33333333,50,54.08333333
310061,NJ,52,16,50,0,29.5
310064,NJ,60,17,22,0,24.75
310069,NJ,50,45,,0,31.66666667
310070,NJ,68,28,28,10,33.5
310073,NJ,46,14,20,0,20
310074,NJ,48,16,24,0,22
310075,NJ,36,29,64,0,32.25
310076,NJ,56,28,44,0,32
310081,NJ,40,24,28,10,25.5
310084,NJ,62.5,27,55,0,36.125
310086,NJ,34,27,20,0,20.25
310091,NJ,20,17,,10,15.66666667
310092,NJ,22.5,13,72,0,26.875
310096,NJ,75,12,42,30,39.75
310108,NJ,36,10,30,0,19
310110,NJ,64,15,52,10,35.25
310111,NJ,32,14,32,0,19.5
310112,NJ,28,13,48,10,24.75
310113,NJ,58,13,32,0,25.75
310115,NJ,52,14,,10,25.33333333
310118,NJ,47.5,18,,0,21.83333333
310119,NJ,45,6,26,0,19.25
310130,NJ,26,22,63.33333333,0,27.83333333
